,Open,High,Low,Close,Adj Close,Volume,Date,Inflation,GDP
2014-01-01 00:00:00,5923.72021484375,6195.64013671875,5842.8798828125,6041.18994140625,6039.63671875,1519200.0,,,
2014-02-01 00:00:00,6041.77001953125,6424.990234375,5886.009765625,6424.990234375,6423.33837890625,1617300.0,,,
2014-03-01 00:00:00,6424.85009765625,6550.93994140625,6307.919921875,6428.7099609375,6427.05712890625,1584800.0,,,
2014-04-01 00:00:00,6429.56005859375,6815.259765625,6423.89990234375,6707.91015625,6706.185546875,1759600.0,,,
2014-05-01 00:00:00,6707.91015625,6908.58984375,6647.64990234375,6647.64990234375,6645.94091796875,1749600.0,,,
2014-06-01 00:00:00,6647.919921875,6900.830078125,6635.5498046875,6844.31005859375,6842.55078125,1494100.0,,,
2014-07-01 00:00:00,6858.009765625,7016.7099609375,6816.89990234375,6864.81982421875,6863.05517578125,1361500.0,,,
2014-08-01 00:00:00,6863.97998046875,7176.22998046875,6800.16015625,7050.89013671875,7049.07763671875,1691300.0,,,
2014-09-01 00:00:00,7050.72021484375,7413.6201171875,7050.72021484375,7283.06982421875,7281.19775390625,1875300.0,,,
2014-10-01 00:00:00,7260.759765625,7283.58984375,6896.47021484375,7215.72998046875,7213.875,1605500.0,,,
2014-11-01 00:00:00,7213.0498046875,7372.56982421875,7176.1298828125,7294.3798828125,7292.5048828125,1228200.0,,,
2014-12-01 00:00:00,7297.1298828125,7372.16015625,6882.18017578125,7186.31982421875,7184.47216796875,1229800.0,,,
2015-01-01 00:00:00,7282.93994140625,7736.97021484375,7224.39990234375,7689.91015625,7687.93310546875,2403800.0,,,
2015-02-01 00:00:00,7689.91015625,7862.91015625,7582.0400390625,7730.56982421875,7728.58251953125,3668200.0,,,
2015-03-01 00:00:00,7730.56982421875,8007.97998046875,7701.72998046875,7940.490234375,7938.44873046875,5040400.0,,,
2015-04-01 00:00:00,7941.8798828125,8136.97021484375,7693.91015625,7714.81982421875,7712.83642578125,4141000.0,,,
2015-05-01 00:00:00,7713.419921875,7923.1298828125,7468.580078125,7580.4599609375,7578.51123046875,3898200.0,,,
2015-06-01 00:00:00,7580.4599609375,7670.3701171875,7272.35986328125,7564.5,7562.55517578125,3128100.0,,,
2015-07-01 00:00:00,7509.0,7665.52001953125,7239.02001953125,7550.0,7548.05908203125,2303700.0,,,
2015-08-01 00:00:00,7563.43994140625,7697.330078125,6603.18994140625,7098.81005859375,7096.9853515625,3111700.0,,,
2015-09-01 00:00:00,7065.08984375,7209.58984375,6720.81982421875,6893.97998046875,6892.20751953125,2599300.0,,,
2015-10-01 00:00:00,6899.259765625,7377.47998046875,6821.85009765625,7134.259765625,7132.42578125,2820600.0,,,
2015-11-01 00:00:00,7206.8798828125,7239.93017578125,6715.919921875,6927.06982421875,6925.2890625,556600.0,,,
2015-12-01 00:00:00,6918.5498046875,7062.6298828125,6610.81982421875,6952.080078125,6950.29296875,426100.0,,,
2016-01-01 00:00:00,6954.27001953125,6957.240234375,6084.27978515625,6687.6201171875,6685.90087890625,762800.0,,,
2016-02-01 00:00:00,6705.52001953125,6848.8701171875,6521.2001953125,6671.0400390625,6669.3251953125,143537700.0,,,
2016-03-01 00:00:00,6670.75,7412.330078125,6661.68017578125,7262.2998046875,7260.4326171875,1939800.0,,,
2016-04-01 00:00:00,7273.8798828125,7374.9599609375,7122.759765625,7159.2900390625,7157.44970703125,2214600.0,,,
2016-05-01 00:00:00,7106.35009765625,7568.81982421875,6941.419921875,7401.60009765625,7399.697265625,3130800.0,,,
2016-06-01 00:00:00,7447.27001953125,7980.75,7407.22021484375,7796.25,7794.24560546875,3289500.0,,,
2016-07-01 00:00:00,7811.2001953125,8118.43994140625,7748.8701171875,7963.10986328125,7961.06298828125,3066000.0,,,
2016-08-01 00:00:00,8006.72021484375,8078.97998046875,7707.3798828125,7787.3701171875,7785.3681640625,3405800.0,,,
2016-09-01 00:00:00,7775.77978515625,7829.7001953125,7493.64013671875,7629.72998046875,7627.7685546875,2927500.0,,,
2016-10-01 00:00:00,7643.33984375,7721.56982421875,7312.18017578125,7404.7998046875,7402.89599609375,2249900.0,,,
2016-11-01 00:00:00,7371.68017578125,7374.56982421875,6722.31005859375,6781.2001953125,6779.45703125,1009300.0,,,
2016-12-01 00:00:00,6902.14013671875,7048.740234375,6499.0,6840.64013671875,6838.88134765625,576300.0,,,
2017-01-01 00:00:00,6840.06005859375,7402.5400390625,6746.7998046875,7229.66015625,7227.8017578125,3089000.0,,,
2017-02-01 00:00:00,7297.72021484375,7339.89990234375,7152.4501953125,7212.08984375,7210.23583984375,2672500.0,,,
2017-03-01 00:00:00,7167.89013671875,7417.759765625,7146.27001953125,7311.72021484375,7309.84033203125,3786200.0,,,
2017-04-01 00:00:00,7323.740234375,7733.77978515625,7317.740234375,7661.009765625,7659.04052734375,2772300.0,,,
2017-05-01 00:00:00,7687.2900390625,8018.39013671875,7682.259765625,7837.1201171875,7835.10546875,4004900.0,,,
